dataset_name,algorithm_name,anchor_model_file_name,image_name,varroa_count,window_count,candidate_count,final_detection_count,threshold_column,threshold_value,score_threshold,stride_divisor,stride,cluster_iou_threshold,weighted_box_size_factor,tp_iou_0_1,fp_iou_0_1,fn_iou_0_1,precision_iou_0_1,recall_iou_0_1,f1_iou_0_1,tp_iou_0_3,fp_iou_0_3,fn_iou_0_3,precision_iou_0_3,recall_iou_0_3,f1_iou_0_3
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-01_3-01-01-mp4-bee_id_2329-50400-1_png.rf.be1c4ab55ae7ffc9fc94288f7f686f17.jpg,2,841,8,2,score_threshold,1.0,1.0,4,20,0.2,1.0,1,1,1,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-01_3-01-01-mp4-bee_id_2344-51195-1_png.rf.528fc19c2580c703dbb2ebf2e9d6bd94.jpg,2,841,19,2,score_threshold,1.0,1.0,4,20,0.2,1.0,2,0,0,1.0,1.0,1.0,1,1,1,0.5,0.5,0.5
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-01_3-01-01-mp4-bee_id_2347-51840-1_png.rf.c23def492c21516a1c9617c946d90822.jpg,2,841,20,3,score_threshold,1.0,1.0,4,20,0.2,1.0,2,1,0,0.6666666666666666,1.0,0.8,2,1,0,0.6666666666666666,1.0,0.8
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-01_3-01-01-mp4-bee_id_2361-53460-1_png.rf.522d544c521c64611cc73f76d000a326.jpg,2,841,17,2,score_threshold,1.0,1.0,4,20,0.2,1.0,2,0,0,1.0,1.0,1.0,2,0,0,1.0,1.0,1.0
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-01_3-01-01-mp4-bee_id_2366-54285-1_png.rf.b3828ff098487d7d0094af7ff5705937.jpg,2,841,8,2,score_threshold,1.0,1.0,4,20,0.2,1.0,2,0,0,1.0,1.0,1.0,2,0,0,1.0,1.0,1.0
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-01_3-01-01-mp4-bee_id_2389-55440-1_png.rf.ac048a9d128c900b49d4067db406aabe.jpg,2,841,16,2,score_threshold,1.0,1.0,4,20,0.2,1.0,2,0,0,1.0,1.0,1.0,2,0,0,1.0,1.0,1.0
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-01_3-01-01-mp4-bee_id_2393-55485-1_png.rf.fbcd609e8b9b2a643f3fad3fef44caba.jpg,2,841,12,2,score_threshold,1.0,1.0,4,20,0.2,1.0,2,0,0,1.0,1.0,1.0,2,0,0,1.0,1.0,1.0
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-01_3-01-01-mp4-bee_id_2418-58155-1_png.rf.f04704193b1f30a8c1a45a26da64459f.jpg,0,841,0,0,score_threshold,1.0,1.0,4,20,0.2,1.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-01_3-01-01-mp4-bee_id_2480-62685-1_png.rf.92608037f2d21ebae7948a1f8b76de58.jpg,2,841,18,3,score_threshold,1.0,1.0,4,20,0.2,1.0,2,1,0,0.6666666666666666,1.0,0.8,2,1,0,0.6666666666666666,1.0,0.8
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,2017-09-01_3-01-01-mp4-bee_id_2490-63030-1_png.rf.9b16e46d56a34786b092bfa21c54abad.jpg,0,841,1,1,score_threshold,1.0,1.0,4,20,0.2,1.0,0,1,0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0
