dataset_name,algorithm_name,anchor_model_file_name,anchor_patch_set,anchor_patch_size,anchor_feature_set,stage07_test_f1,param_combo_index,threshold_column,threshold_value,score_threshold,stride_divisor,stride,cluster_iou_threshold,weighted_box_size_factor,image_count,total_window_count,total_candidate_count,total_final_detection_count,mean_candidates_per_image,mean_final_detections_per_image,raw_score_runtime_seconds,evaluation_runtime_seconds,tp_iou_0_1,fp_iou_0_1,fn_iou_0_1,detection_precision_iou_0_1,detection_recall_iou_0_1,detection_f1_iou_0_1,false_positives_per_image_iou_0_1,false_negatives_per_image_iou_0_1,negative_image_count_iou_0_1,negative_total_fp_iou_0_1,negative_fp_per_negative_image_iou_0_1,negative_accuracy_iou_0_1,mean_matched_iou_iou_0_1,tp_iou_0_3,fp_iou_0_3,fn_iou_0_3,detection_precision_iou_0_3,detection_recall_iou_0_3,detection_f1_iou_0_3,false_positives_per_image_iou_0_3,false_negatives_per_image_iou_0_3,negative_image_count_iou_0_3,negative_total_fp_iou_0_3,negative_fp_per_negative_image_iou_0_3,negative_accuracy_iou_0_3,mean_matched_iou_iou_0_3,group_rank
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,centered80_balanced,80,hog16_pca_hsv_lbp,0.9320197044334976,7,score_threshold,1.0,1.0,6,13,0.3,1.0,70,141750,2148,345,30.685714285714287,4.928571428571429,1538.8063607215881,0.5317182540893555,85,260,5,0.2463768115942029,0.9444444444444444,0.39080459770114945,3.7142857142857144,0.07142857142857142,20,67,3.35,0.2,0.48767509966210304,82,263,8,0.23768115942028986,0.9111111111111111,0.37701149425287356,3.757142857142857,0.11428571428571428,20,67,3.35,0.2,0.50096414637221,23
dataset1_varroa,linear_svm,d1_linsvm_011__centered80_balanced__hog16_pca_hsv_lbp.joblib,centered80_balanced,80,hog16_pca_hsv_lbp,0.9320197044334976,8,score_threshold,1.0,1.0,6,13,0.3,1.25,70,141750,2148,345,30.685714285714287,4.928571428571429,1538.8063607215881,0.5735526084899902,85,260,5,0.2463768115942029,0.9444444444444444,0.39080459770114945,3.7142857142857144,0.07142857142857142,20,67,3.35,0.2,0.42117601983733693,77,268,13,0.22318840579710145,0.8555555555555555,0.35402298850574715,3.8285714285714287,0.18571428571428572,20,67,3.35,0.2,0.44436811776691176,24
dataset1_varroa,random_forest,d1_rf_003__centered80_balanced__hog16_hsv_lbp.joblib,centered80_balanced,80,hog16_hsv_lbp,0.922816519972918,81,predict_proba_score_threshold,0.6,0.6,4,20,0.2,1.0,70,58870,2567,473,36.67142857142857,6.757142857142857,341.29131388664246,0.786020040512085,86,387,4,0.18181818181818182,0.9555555555555556,0.30550621669627,5.5285714285714285,0.05714285714285714,20,98,4.9,0.05,0.4117515276003152,75,398,15,0.15856236786469344,0.8333333333333334,0.2664298401420959,5.685714285714286,0.21428571428571427,20,98,4.9,0.05,0.4696340055755967,1
dataset1_varroa,random_forest,d1_rf_003__centered80_balanced__hog16_hsv_lbp.joblib,centered80_balanced,80,hog16_hsv_lbp,0.922816519972918,82,predict_proba_score_threshold,0.6,0.6,4,20,0.2,1.25,70,58870,2567,473,36.67142857142857,6.757142857142857,341.29131388664246,0.8481020927429199,86,387,4,0.18181818181818182,0.9555555555555556,0.30550621669627,5.5285714285714285,0.05714285714285714,20,98,4.9,0.05,0.3644239367495508,73,400,17,0.1543340380549683,0.8111111111111111,0.25932504440497334,5.714285714285714,0.24285714285714285,20,98,4.9,0.05,0.41674273069057366,2
dataset1_varroa,random_forest,d1_rf_003__centered80_balanced__hog16_hsv_lbp.joblib,centered80_balanced,80,hog16_hsv_lbp,0.922816519972918,85,predict_proba_score_threshold,0.6,0.6,6,13,0.2,1.0,70,141750,6139,576,87.7,8.228571428571428,896.0474514961243,1.8343920707702637,86,490,4,0.14930555555555555,0.9555555555555556,0.25825825825825827,7.0,0.05714285714285714,20,124,6.2,0.05,0.4028381880861149,80,496,10,0.1388888888888889,0.8888888888888888,0.24024024024024024,7.085714285714285,0.14285714285714285,20,124,6.2,0.05,0.4642286863231641,3
dataset1_varroa,random_forest,d1_rf_003__centered80_balanced__hog16_hsv_lbp.joblib,centered80_balanced,80,hog16_hsv_lbp,0.922816519972918,83,predict_proba_score_threshold,0.6,0.6,4,20,0.3,1.0,70,58870,2567,642,36.67142857142857,9.17142857142857,341.29131388664246,0.9118125438690186,86,556,4,0.13395638629283488,0.9555555555555556,0.23497267759562843,7.942857142857143,0.05714285714285714,20,124,6.2,0.05,0.41096042724355,80,562,10,0.12461059190031153,0.8888888888888888,0.2185792349726776,8.028571428571428,0.14285714285714285,20,124,6.2,0.05,0.46253536064750483,4
dataset1_varroa,random_forest,d1_rf_003__centered80_balanced__hog16_hsv_lbp.joblib,centered80_balanced,80,hog16_hsv_lbp,0.922816519972918,86,predict_proba_score_threshold,0.6,0.6,6,13,0.2,1.25,70,141750,6139,576,87.7,8.228571428571428,896.0474514961243,1.7996199131011963,86,490,4,0.14930555555555555,0.9555555555555556,0.25825825825825827,7.0,0.05714285714285714,20,124,6.2,0.05,0.36094825332864927,71,505,19,0.1232638888888889,0.7888888888888889,0.2132132132132132,7.214285714285714,0.2714285714285714,20,124,6.2,0.05,0.4300146704176445,5
dataset1_varroa,random_forest,d1_rf_003__centered80_balanced__hog16_hsv_lbp.joblib,centered80_balanced,80,hog16_hsv_lbp,0.922816519972918,84,predict_proba_score_threshold,0.6,0.6,4,20,0.3,1.25,70,58870,2567,642,36.67142857142857,9.17142857142857,341.29131388664246,0.9362335205078125,86,556,4,0.13395638629283488,0.9555555555555556,0.23497267759562843,7.942857142857143,0.05714285714285714,20,124,6.2,0.05,0.35718973491140366,76,566,14,0.11838006230529595,0.8444444444444444,0.20765027322404372,8.085714285714285,0.2,20,124,6.2,0.05,0.4217205085060016,6
dataset1_varroa,random_forest,d1_rf_003__centered80_balanced__hog16_hsv_lbp.joblib,centered80_balanced,80,hog16_hsv_lbp,0.922816519972918,73,predict_proba_score_threshold,0.5,0.5,4,20,0.2,1.0,70,58870,4093,711,58.47142857142857,10.157142857142857,341.29131388664246,1.0969488620758057,87,624,3,0.12236286919831224,0.9666666666666667,0.21722846441947566,8.914285714285715,0.04285714285714286,20,163,8.15,0.0,0.41311491293613717,78,633,12,0.10970464135021098,0.8666666666666667,0.1947565543071161,9.042857142857143,0.17142857142857143,20,163,8.15,0.0,0.4724602349670958,7
dataset1_varroa,random_forest,d1_rf_003__centered80_balanced__hog16_hsv_lbp.joblib,centered80_balanced,80,hog16_hsv_lbp,0.922816519972918,74,predict_proba_score_threshold,0.5,0.5,4,20,0.2,1.25,70,58870,4093,711,58.47142857142857,10.157142857142857,341.29131388664246,0.9939119815826416,87,624,3,0.12236286919831224,0.9666666666666667,0.21722846441947566,8.914285714285715,0.04285714285714286,20,163,8.15,0.0,0.36076491582015535,76,635,14,0.10689170182841069,0.8444444444444444,0.18976279650436953,9.071428571428571,0.2,20,163,8.15,0.0,0.41643109237026926,8
