dataset_name,patch_set,patch_size,ratio_variant,feature_set,hog_variant,is_pca,include_hsv,include_lbp,feature_file_path,file_format,row_count,metadata_column_count,feature_column_count,total_column_count,train_row_count,valid_row_count,test_row_count,positive_count,negative_count,nan_count,inf_count,pca_fit_split,pca_explained_variance_target,pca_n_components_actual,pca_explained_variance_actual,pca_artifact_path,status,action,file_size_mb,created_at,notes,manifest_path,features_dir,feature_file_name,resolved_feature_file_path,feature_file_exists,patch_set_order,feature_set_order,model_index,model_id,model_file_path,algorithm_name,algorithm_short,dataset_short,score_method,scaler_used,cv_folds,scoring,hyperparameter_grid_name,model_fit_split,valid_used_for_fit_or_selection,test_used_for_fit_or_selection
dataset1_varroa,centered80_neg4x,80,neg4x,hog8_pca_hsv_lbp,hog8,True,True,True,data/features/dataset1_varroa/centered80_neg4x__hog8_pca_hsv_lbp.parquet,parquet,25615,28,811,839,15160,3220,7235,5123,20492,0,0,train,0.95,769.0,0.9501150846481324,data/features/dataset1_varroa/pca_artifacts/centered80_neg4x__hog8_pca.joblib,OK,created_or_overwritten,113.9323,2026-05-25 03:20:29,HOG32 removed from Stage 03 feature grid.,data/features/dataset1_varroa/feature_manifest.csv,data/features/dataset1_varroa,centered80_neg4x__hog8_pca_hsv_lbp.parquet,data/features/dataset1_varroa/centered80_neg4x__hog8_pca_hsv_lbp.parquet,True,1,7,21,d1_linsvm_021,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_021__centered80_neg4x__hog8_pca_hsv_lbp.joblib,linear_svm,linsvm,d1,decision_function,True,3,f1,linear_svm_stage04_v1,train,False,False
dataset1_varroa,centered80_neg4x,80,neg4x,hog8_pca_hsv,hog8,True,True,False,data/features/dataset1_varroa/centered80_neg4x__hog8_pca_hsv.parquet,parquet,25615,28,801,829,15160,3220,7235,5123,20492,0,0,train,0.95,769.0,0.9501150846481324,data/features/dataset1_varroa/pca_artifacts/centered80_neg4x__hog8_pca.joblib,OK,created_or_overwritten,113.5788,2026-05-25 03:20:31,HOG32 removed from Stage 03 feature grid.,data/features/dataset1_varroa/feature_manifest.csv,data/features/dataset1_varroa,centered80_neg4x__hog8_pca_hsv.parquet,data/features/dataset1_varroa/centered80_neg4x__hog8_pca_hsv.parquet,True,1,8,22,d1_linsvm_022,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_022__centered80_neg4x__hog8_pca_hsv.joblib,linear_svm,linsvm,d1,decision_function,True,3,f1,linear_svm_stage04_v1,train,False,False
dataset1_varroa,centered80_neg4x,80,neg4x,hog8_pca_only,hog8,True,False,False,data/features/dataset1_varroa/centered80_neg4x__hog8_pca_only.parquet,parquet,25615,28,769,797,15160,3220,7235,5123,20492,0,0,train,0.95,769.0,0.9501150846481324,data/features/dataset1_varroa/pca_artifacts/centered80_neg4x__hog8_pca.joblib,OK,created_or_overwritten,112.3942,2026-05-25 03:20:32,HOG32 removed from Stage 03 feature grid.,data/features/dataset1_varroa/feature_manifest.csv,data/features/dataset1_varroa,centered80_neg4x__hog8_pca_only.parquet,data/features/dataset1_varroa/centered80_neg4x__hog8_pca_only.parquet,True,1,9,23,d1_linsvm_023,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_023__centered80_neg4x__hog8_pca_only.joblib,linear_svm,linsvm,d1,decision_function,True,3,f1,linear_svm_stage04_v1,train,False,False
dataset1_varroa,centered80_neg4x,80,neg4x,hog16_pca_hsv_lbp,hog16,True,True,True,data/features/dataset1_varroa/centered80_neg4x__hog16_pca_hsv_lbp.parquet,parquet,25615,28,223,251,15160,3220,7235,5123,20492,0,0,train,0.95,181.0,0.9504688382148744,data/features/dataset1_varroa/pca_artifacts/centered80_neg4x__hog16_pca.joblib,OK,created_or_overwritten,29.1599,2026-05-25 03:20:32,HOG32 removed from Stage 03 feature grid.,data/features/dataset1_varroa/feature_manifest.csv,data/features/dataset1_varroa,centered80_neg4x__hog16_pca_hsv_lbp.parquet,data/features/dataset1_varroa/centered80_neg4x__hog16_pca_hsv_lbp.parquet,True,1,10,24,d1_linsvm_024,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_024__centered80_neg4x__hog16_pca_hsv_lbp.joblib,linear_svm,linsvm,d1,decision_function,True,3,f1,linear_svm_stage04_v1,train,False,False
dataset1_varroa,centered80_neg4x,80,neg4x,hog16_pca_hsv,hog16,True,True,False,data/features/dataset1_varroa/centered80_neg4x__hog16_pca_hsv.parquet,parquet,25615,28,213,241,15160,3220,7235,5123,20492,0,0,train,0.95,181.0,0.9504688382148744,data/features/dataset1_varroa/pca_artifacts/centered80_neg4x__hog16_pca.joblib,OK,created_or_overwritten,28.8064,2026-05-25 03:20:33,HOG32 removed from Stage 03 feature grid.,data/features/dataset1_varroa/feature_manifest.csv,data/features/dataset1_varroa,centered80_neg4x__hog16_pca_hsv.parquet,data/features/dataset1_varroa/centered80_neg4x__hog16_pca_hsv.parquet,True,1,11,25,d1_linsvm_025,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_025__centered80_neg4x__hog16_pca_hsv.joblib,linear_svm,linsvm,d1,decision_function,True,3,f1,linear_svm_stage04_v1,train,False,False
dataset1_varroa,centered80_neg4x,80,neg4x,hog16_pca_only,hog16,True,False,False,data/features/dataset1_varroa/centered80_neg4x__hog16_pca_only.parquet,parquet,25615,28,181,209,15160,3220,7235,5123,20492,0,0,train,0.95,181.0,0.9504688382148744,data/features/dataset1_varroa/pca_artifacts/centered80_neg4x__hog16_pca.joblib,OK,created_or_overwritten,27.6218,2026-05-25 03:20:33,HOG32 removed from Stage 03 feature grid.,data/features/dataset1_varroa/feature_manifest.csv,data/features/dataset1_varroa,centered80_neg4x__hog16_pca_only.parquet,data/features/dataset1_varroa/centered80_neg4x__hog16_pca_only.parquet,True,1,12,26,d1_linsvm_026,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_026__centered80_neg4x__hog16_pca_only.joblib,linear_svm,linsvm,d1,decision_function,True,3,f1,linear_svm_stage04_v1,train,False,False
dataset1_varroa,centered96_balanced,96,balanced,hog8_hsv_lbp,hog8,False,True,True,data/features/dataset1_varroa/centered96_balanced__hog8_hsv_lbp.parquet,parquet,10246,28,4398,4426,6064,1288,2894,5123,5123,0,0,,,,,,OK,created_or_overwritten,232.676,2026-05-25 03:22:06,HOG32 removed from Stage 03 feature grid.,data/features/dataset1_varroa/feature_manifest.csv,data/features/dataset1_varroa,centered96_balanced__hog8_hsv_lbp.parquet,data/features/dataset1_varroa/centered96_balanced__hog8_hsv_lbp.parquet,True,2,0,27,d1_linsvm_027,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_027__centered96_balanced__hog8_hsv_lbp.joblib,linear_svm,linsvm,d1,decision_function,True,3,f1,linear_svm_stage04_v1,train,False,False
dataset1_varroa,centered96_balanced,96,balanced,hog8_hsv,hog8,False,True,False,data/features/dataset1_varroa/centered96_balanced__hog8_hsv.parquet,parquet,10246,28,4388,4416,6064,1288,2894,5123,5123,0,0,,,,,,OK,created_or_overwritten,232.512,2026-05-25 03:22:10,HOG32 removed from Stage 03 feature grid.,data/features/dataset1_varroa/feature_manifest.csv,data/features/dataset1_varroa,centered96_balanced__hog8_hsv.parquet,data/features/dataset1_varroa/centered96_balanced__hog8_hsv.parquet,True,2,1,28,d1_linsvm_028,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_028__centered96_balanced__hog8_hsv.joblib,linear_svm,linsvm,d1,decision_function,True,3,f1,linear_svm_stage04_v1,train,False,False
dataset1_varroa,centered96_balanced,96,balanced,hog8_only,hog8,False,False,False,data/features/dataset1_varroa/centered96_balanced__hog8_only.parquet,parquet,10246,28,4356,4384,6064,1288,2894,5123,5123,0,0,,,,,,OK,created_or_overwritten,231.906,2026-05-25 03:22:13,HOG32 removed from Stage 03 feature grid.,data/features/dataset1_varroa/feature_manifest.csv,data/features/dataset1_varroa,centered96_balanced__hog8_only.parquet,data/features/dataset1_varroa/centered96_balanced__hog8_only.parquet,True,2,2,29,d1_linsvm_029,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_029__centered96_balanced__hog8_only.joblib,linear_svm,linsvm,d1,decision_function,True,3,f1,linear_svm_stage04_v1,train,False,False
dataset1_varroa,centered96_balanced,96,balanced,hog16_hsv_lbp,hog16,False,True,True,data/features/dataset1_varroa/centered96_balanced__hog16_hsv_lbp.parquet,parquet,10246,28,942,970,6064,1288,2894,5123,5123,0,0,,,,,,OK,created_or_overwritten,52.1826,2026-05-25 03:22:14,HOG32 removed from Stage 03 feature grid.,data/features/dataset1_varroa/feature_manifest.csv,data/features/dataset1_varroa,centered96_balanced__hog16_hsv_lbp.parquet,data/features/dataset1_varroa/centered96_balanced__hog16_hsv_lbp.parquet,True,2,3,30,d1_linsvm_030,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_030__centered96_balanced__hog16_hsv_lbp.joblib,linear_svm,linsvm,d1,decision_function,True,3,f1,linear_svm_stage04_v1,train,False,False
