model_id,dataset_name,dataset_short,algorithm_name,algorithm_short,model_index,patch_set,patch_size,ratio_variant,feature_set,feature_file_path,model_file_path,pipeline_steps,model_type,scaler_used,model_fit_split,valid_used_for_fit_or_selection,test_used_for_fit_or_selection,class_weight,hyperparameter_grid_name,search_strategy,cv_used,cv_folds,scoring,score_method,random_state,created_at,fit_status,fit_runtime_seconds,selected_params_json,best_cv_score,feature_count_actual,train_row_count_actual,train_positive_count_actual,train_negative_count_actual,error_message,notes
d1_linsvm_021,dataset1_varroa,d1,linear_svm,linsvm,21,centered80_neg4x,80,neg4x,hog8_pca_hsv_lbp,data/features/dataset1_varroa/centered80_neg4x__hog8_pca_hsv_lbp.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_021__centered80_neg4x__hog8_pca_hsv_lbp.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 08:35:04,trained,124.50287938117981,"{""model__C"": 0.01}",0.8683675902474973,811,15160,3032,12128,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_022,dataset1_varroa,d1,linear_svm,linsvm,22,centered80_neg4x,80,neg4x,hog8_pca_hsv,data/features/dataset1_varroa/centered80_neg4x__hog8_pca_hsv.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_022__centered80_neg4x__hog8_pca_hsv.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 08:37:09,trained,62.5925829410553,"{""model__C"": 0.01}",0.8649923264098397,801,15160,3032,12128,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_023,dataset1_varroa,d1,linear_svm,linsvm,23,centered80_neg4x,80,neg4x,hog8_pca_only,data/features/dataset1_varroa/centered80_neg4x__hog8_pca_only.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_023__centered80_neg4x__hog8_pca_only.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 08:38:12,trained,22.299577236175537,"{""model__C"": 1.0}",0.6295412228317184,769,15160,3032,12128,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_024,dataset1_varroa,d1,linear_svm,linsvm,24,centered80_neg4x,80,neg4x,hog16_pca_hsv_lbp,data/features/dataset1_varroa/centered80_neg4x__hog16_pca_hsv_lbp.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_024__centered80_neg4x__hog16_pca_hsv_lbp.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 08:38:34,trained,16.088321685791016,"{""model__C"": 0.01}",0.8982650277972709,223,15160,3032,12128,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_025,dataset1_varroa,d1,linear_svm,linsvm,25,centered80_neg4x,80,neg4x,hog16_pca_hsv,data/features/dataset1_varroa/centered80_neg4x__hog16_pca_hsv.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_025__centered80_neg4x__hog16_pca_hsv.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 08:38:50,trained,15.784063816070557,"{""model__C"": 0.01}",0.9001102364527451,213,15160,3032,12128,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_026,dataset1_varroa,d1,linear_svm,linsvm,26,centered80_neg4x,80,neg4x,hog16_pca_only,data/features/dataset1_varroa/centered80_neg4x__hog16_pca_only.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_026__centered80_neg4x__hog16_pca_only.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 08:39:06,trained,7.763141393661499,"{""model__C"": 1.0}",0.6631147435402015,181,15160,3032,12128,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_027,dataset1_varroa,d1,linear_svm,linsvm,27,centered96_balanced,96,balanced,hog8_hsv_lbp,data/features/dataset1_varroa/centered96_balanced__hog8_hsv_lbp.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_027__centered96_balanced__hog8_hsv_lbp.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 08:39:14,trained,235.6727294921875,"{""model__C"": 0.01}",0.8681121491004585,4398,6064,3032,3032,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_028,dataset1_varroa,d1,linear_svm,linsvm,28,centered96_balanced,96,balanced,hog8_hsv,data/features/dataset1_varroa/centered96_balanced__hog8_hsv.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_028__centered96_balanced__hog8_hsv.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 08:43:10,trained,221.8147554397583,"{""model__C"": 0.01}",0.8646662193901573,4388,6064,3032,3032,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_029,dataset1_varroa,d1,linear_svm,linsvm,29,centered96_balanced,96,balanced,hog8_only,data/features/dataset1_varroa/centered96_balanced__hog8_only.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_029__centered96_balanced__hog8_only.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 08:46:52,trained,292.1191575527191,"{""model__C"": 0.01}",0.7683184004869025,4356,6064,3032,3032,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_030,dataset1_varroa,d1,linear_svm,linsvm,30,centered96_balanced,96,balanced,hog16_hsv_lbp,data/features/dataset1_varroa/centered96_balanced__hog16_hsv_lbp.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_030__centered96_balanced__hog16_hsv_lbp.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 08:51:44,trained,53.15405535697937,"{""model__C"": 0.01}",0.9240292991144838,942,6064,3032,3032,,Trained LinearSVC with train split GridSearchCV only.
d1_linsvm_031,dataset1_varroa,d1,linear_svm,linsvm,31,centered96_balanced,96,balanced,hog16_hsv,data/features/dataset1_varroa/centered96_balanced__hog16_hsv.parquet,outputs/models/dataset1_varroa/00_linear_svm/models/d1_linsvm_031__centered96_balanced__hog16_hsv.joblib,standard_scaler + linear_svc,LinearSVC,True,train,False,False,None,linear_svm_stage04_v1,train_split_gridsearch_cv,True,3,f1,decision_function,42,2026-05-26 08:52:38,trained,57.6021454334259,"{""model__C"": 0.01}",0.9219504068676665,932,6064,3032,3032,,Trained LinearSVC with train split GridSearchCV only.
