rank_iou_0_2,dataset_name,algorithm_name,patch_set,feature_set,model_file_name,threshold_value,stride_divisor,cluster_iou_threshold,weighted_box_size_factor,detection_f1_iou_0_2,false_positives_per_image_iou_0_2,detection_recall_iou_0_2,detection_f1_iou_0_3,false_positives_per_image_iou_0_3,detection_recall_iou_0_3,rank_iou_0_3
31,dataset2_honeybee,random_forest,centered48_neg4x,hog16_pca_hsv_lbp,d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,0.7,4,0.25,1.25,0.449678800856531,0.3128571428571428,0.4158415841584158,0.2184154175588865,0.4671428571428571,0.201980198019802,111
32,dataset2_honeybee,rbf_svm,centered48_neg4x,hog16_hsv_lbp,d2_rbfsvm_006__centered48_neg4x__hog16_hsv_lbp.joblib,0.8,4,0.2,1.25,0.4469387755102041,0.3657142857142857,0.4336633663366336,0.2224489795918367,0.5228571428571429,0.2158415841584158,108
33,dataset2_honeybee,rbf_svm,centered48_balanced,hog8_pca_hsv_lbp,d2_rbfsvm_009__centered48_balanced__hog8_pca_hsv_lbp.joblib,0.9,4,0.25,1.0,0.4442687747035573,0.6842857142857143,0.5564356435643565,0.3130434782608696,0.8028571428571428,0.3920792079207921,68
34,dataset2_honeybee,rbf_svm,centered48_neg4x,hog16_pca_hsv_lbp,d2_rbfsvm_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,0.9,4,0.25,1.25,0.4442190669371196,0.3742857142857143,0.4336633663366336,0.2332657200811358,0.5228571428571429,0.2277227722772277,97
35,dataset2_honeybee,rbf_svm,centered48_balanced,hog16_pca_hsv_lbp,d2_rbfsvm_003__centered48_balanced__hog16_pca_hsv_lbp.joblib,1.2,4,0.2,1.25,0.4436090225563909,0.4614285714285714,0.4673267326732673,0.2105263157894737,0.6385714285714286,0.2217821782178217,119
36,dataset2_honeybee,random_forest,centered48_neg4x,hog16_pca_hsv_lbp,d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,0.7,4,0.3,1.25,0.4428274428274428,0.3485714285714286,0.4217821782178217,0.212058212058212,0.5071428571428571,0.201980198019802,115
37,dataset1_varroa,rbf_svm,centered80_neg4x,hog16_hsv_lbp,d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,1.2,4,0.25,1.0,0.4421669106881405,0.4142857142857143,0.6239669421487604,0.4304538799414348,0.42,0.6074380165289256,1
38,dataset1_varroa,rbf_svm,centered80_neg4x,hog16_hsv_lbp,d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,1.2,4,0.3,1.0,0.4421669106881405,0.4142857142857143,0.6239669421487604,0.4304538799414348,0.42,0.6074380165289256,2
39,dataset1_varroa,rbf_svm,centered80_neg4x,hog16_hsv_lbp,d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,1.2,4,0.25,1.25,0.4421669106881405,0.4142857142857143,0.6239669421487604,0.4158125915080527,0.4271428571428571,0.5867768595041323,4
40,dataset1_varroa,rbf_svm,centered80_neg4x,hog16_hsv_lbp,d1_rbfsvm_006__centered80_neg4x__hog16_hsv_lbp.joblib,1.2,4,0.3,1.25,0.4421669106881405,0.4142857142857143,0.6239669421487604,0.4158125915080527,0.4271428571428571,0.5867768595041323,5
