dataset_name,algorithm_name,model_file_name,primary_metric,primary_metric_value,parameter_name,best_value,grid_values,is_lower_boundary,is_upper_boundary,boundary_note
dataset1_varroa,random_forest,d1_rf_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,detection_f1_iou_0_2,0.4573748308525033,weighted_box_size_factor,1.25,"[1.0, 1.25]",False,True,upper_boundary_possible_higher_value_needed
dataset1_varroa,rbf_svm,d1_rbfsvm_002__centered96_balanced__hog16_pca_hsv_lbp.joblib,detection_f1_iou_0_2,0.4566210045662101,threshold_value,1.3,"[0.8, 0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5]",False,False,inside_grid
dataset1_varroa,rbf_svm,d1_rbfsvm_002__centered96_balanced__hog16_pca_hsv_lbp.joblib,detection_f1_iou_0_2,0.4566210045662101,stride_divisor,4.0,[4],True,True,upper_boundary_possible_higher_value_needed
dataset1_varroa,rbf_svm,d1_rbfsvm_002__centered96_balanced__hog16_pca_hsv_lbp.joblib,detection_f1_iou_0_2,0.4566210045662101,cluster_iou_threshold,0.2,"[0.2, 0.25, 0.3]",True,False,lower_boundary_possible_lower_value_needed
dataset1_varroa,rbf_svm,d1_rbfsvm_002__centered96_balanced__hog16_pca_hsv_lbp.joblib,detection_f1_iou_0_2,0.4566210045662101,weighted_box_size_factor,1.0,"[1.0, 1.25]",True,False,lower_boundary_possible_lower_value_needed
dataset1_varroa,rbf_svm,d1_rbfsvm_005__centered80_balanced__hog8_pca_hsv_lbp.joblib,detection_f1_iou_0_2,0.4490445859872611,threshold_value,1.3,"[0.8, 0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5]",False,False,inside_grid
dataset1_varroa,rbf_svm,d1_rbfsvm_005__centered80_balanced__hog8_pca_hsv_lbp.joblib,detection_f1_iou_0_2,0.4490445859872611,stride_divisor,4.0,[4],True,True,upper_boundary_possible_higher_value_needed
dataset1_varroa,rbf_svm,d1_rbfsvm_005__centered80_balanced__hog8_pca_hsv_lbp.joblib,detection_f1_iou_0_2,0.4490445859872611,cluster_iou_threshold,0.2,"[0.2, 0.25, 0.3]",True,False,lower_boundary_possible_lower_value_needed
dataset1_varroa,rbf_svm,d1_rbfsvm_005__centered80_balanced__hog8_pca_hsv_lbp.joblib,detection_f1_iou_0_2,0.4490445859872611,weighted_box_size_factor,1.25,"[1.0, 1.25]",False,True,upper_boundary_possible_higher_value_needed
dataset2_honeybee,linear_svm,d2_linsvm_008__centered48_balanced__hog8_pca_hsv_lbp.joblib,detection_f1_iou_0_2,0.4409448818897638,threshold_value,0.7,"[0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1]",False,False,inside_grid
