rank_iou_0_2,dataset_name,algorithm_name,patch_set,feature_set,model_file_name,threshold_value,stride_divisor,cluster_iou_threshold,weighted_box_size_factor,detection_f1_iou_0_2,false_positives_per_image_iou_0_2,detection_recall_iou_0_2,detection_f1_iou_0_3,false_positives_per_image_iou_0_3,detection_recall_iou_0_3,rank_iou_0_3
14,dataset2_honeybee,rbf_svm,centered48_neg4x,hog16_hsv_lbp,d2_rbfsvm_006__centered48_neg4x__hog16_hsv_lbp.joblib,0.8,4,0.2,1.0,0.5155709342560555,0.256,0.4950166112956811,0.3806228373702421,0.334,0.3654485049833887,63
15,dataset2_honeybee,random_forest,centered48_neg4x,hog16_hsv_lbp,d2_rf_006__centered48_neg4x__hog16_hsv_lbp.joblib,0.6,4,0.25,1.0,0.5134706814580032,0.336,0.5382059800664452,0.3645007923930269,0.43,0.3820598006644518,72
16,dataset2_honeybee,random_forest,centered48_neg4x,hog16_pca_hsv_lbp,d2_rf_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,0.7,4,0.25,1.0,0.5134649910233394,0.226,0.4750830564784053,0.3985637342908437,0.29,0.3687707641196013,53
17,dataset2_honeybee,random_forest,centered48_neg4x,hog16_hsv_lbp,d2_rf_006__centered48_neg4x__hog16_hsv_lbp.joblib,0.6,4,0.3,1.0,0.5123456790123456,0.362,0.5514950166112956,0.3611111111111111,0.46,0.388704318936877,73
18,dataset2_honeybee,rbf_svm,centered48_balanced,hog16_pca_hsv_lbp,d2_rbfsvm_003__centered48_balanced__hog16_pca_hsv_lbp.joblib,1.2,4,0.2,1.0,0.5110410094637223,0.342,0.5382059800664452,0.4037854889589905,0.41,0.4252491694352159,49
19,dataset2_honeybee,random_forest,centered48_balanced,hog16_pca_hsv_lbp,d2_rf_003__centered48_balanced__hog16_pca_hsv_lbp.joblib,0.9,4,0.25,1.0,0.5090180360721442,0.142,0.4219269102990033,0.3767535070140281,0.208,0.3122923588039867,66
20,dataset2_honeybee,rbf_svm,centered48_neg4x,hog16_pca_hsv_lbp,d2_rbfsvm_007__centered48_neg4x__hog16_pca_hsv_lbp.joblib,0.9,4,0.25,1.0,0.5060240963855422,0.266,0.4883720930232558,0.4096385542168674,0.322,0.3953488372093023,44
21,dataset2_honeybee,random_forest,centered48_balanced,hog16_pca_hsv_lbp,d2_rf_003__centered48_balanced__hog16_pca_hsv_lbp.joblib,0.9,4,0.3,1.0,0.504930966469428,0.156,0.4252491694352159,0.3708086785009861,0.224,0.3122923588039867,70
22,dataset1_varroa,rbf_svm,centered80_neg4x,hog16_pca_hsv_lbp,d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,1.2,4,0.25,1.0,0.5043263288009888,0.594,0.6623376623376623,0.491965389369592,0.604,0.6461038961038961,9
23,dataset1_varroa,rbf_svm,centered80_neg4x,hog16_pca_hsv_lbp,d1_rbfsvm_007__centered80_neg4x__hog16_pca_hsv_lbp.joblib,1.2,4,0.3,1.0,0.5043263288009888,0.594,0.6623376623376623,0.491965389369592,0.604,0.6461038961038961,10
